code,name,constituency_id,num_voters
A013305,R/C PRIM SCH BLOCK  C  1 ELUBO,1,161
A013306,R/C PRIM SCH  BLOCK  C  2 ELUBO,1,50
A013307,R/C PRIM SCH BLOCK   D  ELUBO,1,72
A013308A,R/C JHS SCH  A  ELUBO,1,438.5
A013308B,R/C JHS SCH  A  ELUBO,1,438.5
A013309,I.C.T CENTRE ELUBO,1,484
A013310,R/C JHS  BLOCK.  B  1 ELUBO,1,162
A013311,R/C JHS BLOCK.  B  2 ELUBO,1,116
A013401,PUBLIC SQUARE ALABOWALE,1,423
A013402,M/A PRIM SCH. GYEGYEKROM,1,330
A013403,KOJO BLACK KILOMETER 5,1,140
A013404,R/C PRIM SCH NUNGUA,1,673
A013405,MARKET SQUARE NUNGUA,1,75
A013406,R/C JHS NUNGUA,1,394
A013407,R/C PRIM SCH COCOA TOWN,1,469
A013408,MARKET SQUARE COCOA TOWN,1,133
A013409,PUBLIC SQUARE MPASEM,1,637
A013410,COCOA SHED NSUOANO/BRIDGE SO,1,42
A013411,MARKET SQUARE NSUANO/BRIDGE SO,1,703
A013412,M/A PRIM. SCH. DORMEABRA,1,213
A020101,METH. PRIM SCH. KIKAM,2,640
A020102,COMM SHED. KIKAM,2,571
A020103,SDA PRIM SCH. KIKAM,2,595
A020104,DAY CARE CENTRE. ASEMKO,2,645
A020201,SDA PRIM SCH . ASENTA 1,2,497
A020202,SDA PRIM SCH . ASENTA 2,2,539
A020203,CATH PRIM . ASENTA 1,2,581
A020204,CATH PRIM .  ASENTA 2,2,573
A020301,RC PRIM SCH SAWOMA,2,624
A020302,METHODIST CHURCH SAWOMA,2,652
A020303,MARKET CENTRE ASANTA,2,296
A020304,NURSERY SCHOOL BOBRAMA,2,401
A020401,ESIAMA CLINIC . ESIAMA 1,2,499
A020402,ESIAMA CLINIC . ESIAMA 2,2,301
A020403,CATH JHS. ESIAMA,2,545
A020501,CATH PRIM SCH. ESIAMA,2,434
A020502,MARKET CENTRE. ESIAMA 1,2,476
A020503A,MARKET CENTRE. ESIAMA 2,2,387
A020503B,MARKET CENTRE. ESIAMA 2,2,387
A020504,POST OFFICE. ESIAMA,2,605
A020601,ANGLICAN PRIM SCH. ESIAMA,2,712
A020602A,ESIAMA SEC TECH. ESIAMA 1,2,385
A020602B,ESIAMA SEC TECH. ESIAMA 1,2,385
A020603,ESIAMA SEC TECH. ESIAMA 2,2,644
A020604,SDA PRIM SCH. ESIAMA,2,537
A020701A,D/C PRIM SCH. KAMGBUNLI,2,400
A020701B,D/C PRIM SCH. KAMGBUNLI,2,400
A020702,OLD MOSQUE. KAMGBUNLI,2,498
A020703,AGRIC QUARTERS. KAMGBUNLI,2,477
A020801,CATH PRIM SCH AMPAIN,2,602
A020802,COMM SHED AZULELOANU 1,2,316
A020803,COMM SHED AZULELOANU 2,2,402
A020901,NKRUMAH DAY CARE NKROFUL 1,2,448
A020902,NKRUMAH DAY CARE NKROFUL 2,2,357
A020903,MARKET CENTRE NKROFUL 1,2,429
A020904,MARKET CENTRE NKROFUL 2,2,383
A021001,CATH JHS NKROFUL,2,588
A021002,METH JHS NKROFUL,2,389
A021101,COMMUNITY CENTRE. TELEKU BOKAZO 1,2,655
A021102,COMMUNITY CENTRE.  TELEKU BOKAZO 2,2,715
A021103A,D/A PRIM SCH. TELEKU BOKAZO,2,445.5
A021103B,D/A PRIM SCH. TELEKU BOKAZO,2,445.5
A021104,COMM SHED. TELEKU BOKAZO,2,627
A021105,D/A PRIM SCH ANWIA 1,2,736
A021106,D/A PRIM SCH ANWIA 2,2,560
A021201,D/A PRIM SCH SALMAN,2,626
A021202,ST. ANNS PREP. SCH. SALMAN,2,505
A021203A,D/A PRIM SCH ALUKU,2,394.5
A021203B,D/A PRIM SCH ALUKU,2,394.5
A021204,COMM SHED OBENGKROM,2,354
A021301,D/A PRIM EWIADE ASASETRE 1,2,322
A021302,D/A PRIM EWIADE ASASETRE 2,2,320
