name,constituency_id
Paul Ofori-Amoah,31
Ishmael Kofi Tekyi Turkson,31
Etuaful Rashid Kwesi,24
Cassiel Ato Baah Forson,24
Cassiel Ato Baah Forson,24
Samuel Akombisa,24
Emmanuel Domson Adjei,33
Alhassan Kobina Ghansah,33
Ken Ohene Agyapong,34
Nurein Shaibu Migyimah,34
Abena Durowaa Mensah,35
James Gyakye Quayson,35
John Ntim Fordjour,36
Nicholas Baffoe,36
Adjei-Banin George,36
Acheampong Prince Kuffour,36
Joseph Kofi Damtse,36
Mavis Hawa Koomson,30
Phillis Naa Koryoo Okunor,30
Hanson Ishmael Amuzu,30
Nii Addy Ishmael,30
Peter Kwao Lartey,30
Mohammed Issah Al-Marzuque,30
George Nenyi Kojo Andah,29
Gizella Tetteh-Agbotui,29
Edith Mansah Dzonyrah,29
Samuel Yawson,29
Barbara Asher Ayisi,20
Kwamena Minta Nyarku,20
Peter Caesar Kwegyir Aggrey,20
Frank Emunah,20
Kwabena Marfo,20
Ernest Arthur,19
George Kweku Ricketts-Hagan,19
Alexander Afenyo-Markin,28
James Kofi Annan,28
Umar Mohammed Murtala,28
Francis Kingsley Ato Codjoe,23
Abeiku Crentsil,23
Regina Amoah,23
Ibrahim Anderson,23
Naana Eyiah,26
Jonamoah Moses Jehu-Appiah,26
Hannah Chrissam,26
Frank Otchere Painstil,26
Kojo Asemanyi,27
Desmond De-Graft Paitoo,27
Samuel Kofi Essel,27
Emmanuel Otchere,27
Alexander Kodwo Kom Abban,25
Edmond Panyin Enchill,25
Richard Gyan Mensah,25
Charles Yawson,25
Bright Wireko-Brobby,38
Foster Joseph Andoh,38
Appiah Kubi,38
Samuel Joe Acquah,18
Samuel Atta Mills,18
Abubakar Sadiq Cann,18
John Sterlin,18
Ophelia Mensah,22
James Essuon,22
Alijatu Ibrahim,22
Ebenezer Obeng Dwamena,37
Vondee T. D. David,37
Obodai Alex Tetteh,37
Festus Awuah Kwofie,39
Emelia Ankomah,39
Christiana Asante,39
Samuel Nsowah-Djan,40
Daniel Ohene Darko,40
Kwabena Okyere Darko-Mensah,5
Frederick Faustinus Faidoo,5
Peter Oswald Essien,5
Ebenezer Kojo Kum,4
Emmanuel Okumi Andoh,4
Ismail Buadil,4
Ebo Mensah,4
Nathaniel Adusei,4
Dominic Akalga,4
Amponteng Patrick Hockson,16
Kwakye-Ackah Peter Yaw,16
Apam Cecilia,16
Edward Amo-Acquah,15
Amankwah Nicholas,15
Stephen Koduah,15
